"material","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","filename"
"Plastic","0.15","5",NA,NA,"0.75","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Fabric and Cloth","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Biohazard","0","5",NA,NA,"0","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Biodegradable","0","5",NA,NA,"0","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Construction","0.5","5",NA,NA,"2.5","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Glass","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Metal","0.05","5",NA,NA,"0.25","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Miscellaneous","0","5",NA,NA,"0","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
"Large Items","0","5",NA,NA,"0","GALLONS",NA,"   ft3","43","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx"
