"","filename","reach_length_units_m","reach_area_m2","sum","sum_per_m","sum_per_m2","sum_m3","sum_m3_per_m","sum_m3_per_m2","sum_l_per_m","sum_l_per_m2","site_name","multiple"
"1","Site 0_10-20-2021/Site #0 10_20_21.xlsx",30,197.866,14,0.466666666666667,0.0707549553738388,0.01892705,0.000630901666666667,9.56558984363154e-05,0.630901666666667,0.0956558984363154," 0",0.294420777777778
"2","Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx",30,236.725968,14,0.466666666666667,0.0591401108981842,0.01514164,0.000504721333333333,6.3962733484313e-05,0.504721333333333,0.063962733484313," 12",0.235536622222222
"3","Site 13_12-8-2021/Site #13 12_8_21.xlsx",30,149.352,38,1.26666666666667,0.254432481654079,0.070030085,0.00233433616666667,0.000468892850447265,2.33433616666667,0.468892850447265," 13",2.95682581111111
"4","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx",30,426,42,1.4,0.0985915492957746,0.0035961395,0.000119871316666667,8.44164201877934e-06,0.119871316666667,0.00844164201877934," 14",0.167819843333333
"5","Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx",30,428,81,2.7,0.189252336448598,0,0,0,0,0," 16",0
"6","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx",30,232.156,90.0143113245722,3.00047704415241,0.387732004878496,0.45503528,0.0151678426666667,0.00196004100690915,15.1678426666667,1.96004100690915," 17",45.5107637306487
"7","Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx",30,727.5576,234.290577228181,7.80968590760603,0.32202340712018,0.020819755,0.000693991833333333,2.8615954255718e-05,0.693991833333333,0.028615954255718," 19",5.41985824077701
"8","Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx",30,159.76600001016,76.9834081672598,2.56611360557533,0.481851008114143,0.13878183,0.004626061,0.000868656848085165,4.626061,0.868656848085165," 20",11.8709980723214
"9","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx",30,299.718984,670,22.3333333333333,2.23542730279641,0.1410065225,0.00470021741666667,0.000470462433237129,4.70021741666667,0.470462433237129," 22CITY",104.971522305556
"10","Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx",30,965.6064,183.444183863234,6.11480612877446,0.189978218726837,0.017034345,0.0005678115,1.76410854360534e-05,0.5678115,0.0176410854360534," 23",3.47205724018862
"11","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx",30,294.894,53,1.76666666666667,0.179725596315964,0.02930004,0.000976668,9.93578709638039e-05,0.976668,0.0993578709638039," 24",1.7254468
"12","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx",30,74.3712,33,1.1,0.443720149735381,0,0,0,0,0," 25",0
"13","Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx",30,152.65399998984,4,0.133333333333333,0.0262030474161583,0.001135623,3.78541e-05,7.43919582896997e-06,0.0378541,0.00743919582896997," 27",0.00504721333333333
"14","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx",30,287.526984,47,1.56666666666667,0.163462918666444,0.00757082,0.000252360666666667,2.63308156148572e-05,0.252360666666667,0.0263308156148572," 28",0.395365044444444
"15","Site 29_11-13-2021/Data for Site #29 11-13-21.xlsx",30,186.942984,12,0.4,0.0641906946344667,0.00378541,0.000126180333333333,2.02490081146881e-05,0.126180333333333,0.0202490081146881," 29",0.0504721333333333
"16","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx",30,274.32,117,3.9,0.426509186351706,0.100470581,0.00334901936666667,0.000366253211577719,3.34901936666667,0.366253211577719," 3",13.06117553
"17","Site 33_11-13-2021/Data for Site #33 11-13-21.xlsx",30,276.09901601016,4,0.133333333333333,0.0144875561593918,0.00378541,0.000126180333333333,1.37103349903308e-05,0.126180333333333,0.0137103349903308," 33",0.0168240444444444
"18","Site 41_11-13-2021/Data for Site #41 11-13-21.xlsx",30,164.082984,7,0.233333333333333,0.0426613401911316,0.00378541,0.000126180333333333,2.30700948247016e-05,0.126180333333333,0.0230700948247016," 41",0.0294420777777778
"19","Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx",30,149.352,25,0.833333333333333,0.167389790561894,0.01514164,0.000504721333333333,0.000101382237934544,0.504721333333333,0.101382237934544," 43",0.420601111111111
"20","Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx",30,214.62898398984,46,1.53333333333333,0.214323336694253,0.01135623,0.000378541,5.29109805623344e-05,0.378541,0.0529109805623344," 5",0.580429533333333
"21","Site 54_11-13-2021/Data for Site #54 11-13-21.xlsx",30,156.462984,1,0.0333333333333333,0.00639128805059732,0.0001892705,6.30901666666667e-06,1.20968228498058e-06,0.00630901666666667,0.00120968228498058," 54",0.000210300555555556
"22","Site 72_12-04-21/Data for Site #72 12-04-21.xlsx",30,164.592,15,0.5,0.0911344415281423,0.3460475265,0.01153491755,0.00210245653798484,11.53491755,2.10245653798484," 72",5.767458775
"23","Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx",30,187.9601016,53,1.76666666666667,0.281974735855325,0.03028328,0.00100944266666667,0.00016111546941194,1.00944266666667,0.16111546941194," 91",1.78334871111111
"24","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx",30,187.9601016,53,1.76666666666667,0.281974735855325,0.03028328,0.00100944266666667,0.00016111546941194,1.00944266666667,0.16111546941194,"",1.78334871111111
