cat,field_1,filename,start_lati,end_latitu,start_long,end_longit,dist,distuppipe
1,1,Site 0_10-20-2021/Site #0 10_20_21.xlsx,37.983063,37.982913,-122.273063,-122.272913,12735.12761,98
2,2,Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx,37.971793,37.971609,-122.244496,-122.244129,9491.05349,
3,3,Site 13_12-8-2021/Site #13 12_8_21.xlsx,37.992961,37.992871,-122.28612,-122.285997,14721.77702,42
4,4,Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx,38.00181,38.0015025,-122.289369,-122.2898711,15855.22078,195
5,5,Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx,37.9981609,37.9983192,-122.2882326,-122.287888,15414.54782,229
6,6,Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx,37.9644,37.9641,-122.2044,-122.2039,5299.372354,
7,7,Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx,38.0109,38.0107,-122.2924,-122.2923,17051.84664,3
8,8,Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx,37.99209,37.992,-122.284052,-122.2839,14494.63039,110
9,9,Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx,37.996748,37.996476,-122.288135,-122.288085,15191.64092,39
10,10,Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx,38.0125,38.0123,-122.2947,-122.2945,17320.03626,15
11,11,Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx,37.98072,37.98061,-122.26961,-122.26953,12313.35244,60
12,12,Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx,37.998892,37.9985728,-122.287866,-122.2877827,15448.04265,295
13,13,Site 27_11-13-2021/Data for Site #27 11-13-21.xlsx,37.973,37.9728,-122.2476,-122.2476,9862.336803,
14,14,Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx,38.005796,38.005522,-122.289154,-122.289015,16387.70093,31
15,15,Site 29_11-13-2021/Data for Site #29 11-13-21.xlsx,37.970011,37.970047,-122.239363,-122.239059,8985.724955,
16,16,Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx,37.9792,37.979,-122.2586,-122.259,11291.21273,30
17,17,Site 33_11-13-2021/Data for Site #33 11-13-21.xlsx,37.9752,37.9749,-122.2502,-122.2501,10276.59899,
18,18,Site 41_11-13-2021/Data for Site #41 11-13-21.xlsx,37.970825,37.970657,-122.241587,-122.24114,9199.720902,
19,19,Site 43_12-04-2021/Data for Site #43 12-04-21.xlsx,37.9702,37.9701,-122.2145,-122.2143,6464.294668,
20,20,Site 5_10-30-2021/Data for Site #5-relocated 10_30_21.xlsx,37.9804,37.9803045,-122.2692,-122.2688407,12242.43894,36
21,21,Site 54_11-13-2021/Data for Site #54 11-13-21.xlsx,37.9736,37.9735,-122.2491,-122.2489,10032.35282,
22,22,Site 72_12-04-21/Data for Site #72 12-04-21.xlsx,37.9682,37.9695,-122.2184,-122.2185,6861.526295,
23,23,Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx,37.954,37.954,-122.1976,-122.1974,3817.787846,
24,24,Site 97_12-21-2021/Data for Site #97 12-21-21.xlsx,37.951,37.95,-122.159,-122.1594,117.3177901,
